"Board Quantity","Ordering Quantity","Value","Reference","ALT_DKPN","ALT_MANUFACTURER","ALT_MOPN","ALT_MPN","ATTRITION","CAPACITANCE","COLOR","CURRENT","DKPN","GAUGE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"2","4","RELAY_SOLIDSTATE_NO","U$4, U$100","","","","","100","","","","255-1436-5-ND","","AQY214EHA","769-AQY214EHA","AQY214EHA","","","","","","","",
"1","11","RESISTOR_0603_100K","R27","","","","","1000","","","","311-100KHRTR-ND","","Yageo","603-RC0603FR-07100KL ","RC0603FR-07100KL","0.1W","100k","","1%","","75V","75V",
"6","16","RESISTOR_0603_10K","R24, R28, R29, R30, R33, R36","","","","","167","","","","311-10.0KHRCT-ND","","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","10k","","1%","","31.62V","75V",
"7","17","RESISTOR_0603_12K","R10, R11, R12, R13, R14, R15, R16","","","","","143","","","","311-12.0KHRCT-ND","","Yageo","603-RC0603FR-0712KL","RC0603FR-0712KL","0.1W","12k","","1%","","34.64V","75V",
"13","23","RESISTOR_0603_1K","R1, R2, R3, R4, R5, R6, R7, R8, R9, R26, R32, R35, R38","","","","","77","","","","311-1.00KHRCT-ND","","Yageo","603-RC0603FR-071KL","RC0603FR-071KL","0.1W","1k","","1%","","10.00V","75V",
"3","13","RESISTOR_0603_22","R25, R34, R37","","","","","333","","","","311-22.0HRCT-ND","","Yageo","603-RC0603FR-0722RL","RC0603FR-0722RL","0.1W","22","","1%","","1.48V","75V",
"2","12","RESISTOR_0603_240","R31, R100","","","","","500","","","","311-240HRCT-ND","","Yageo","603-RC0603FR-07240RL","RC0603FR-07240RL","0.1W","240","","1%","","4.90V","75V",
"7","17","RESISTOR_0603_33K","R17, R18, R19, R20, R21, R22, R23","","","","","143","","","","311-33.0KHRTR-ND","","YAGEO","603-RC0603FR-0733KL","RC0603FR-0733KL","0.1W","33k","","1%","","57.44V","75V",
"2","12","RESISTOR_0603_60.4","R39, R40","","","","","500","","","","311-60.4HRCT-ND","","Yageo","603-RC0603FR-0760R4L","RC0603FR-0760R4L","0.1W","60.4","","1%","","2.48V","75V",
"6","8","SCHOTTKY_SOD323_30V","D1, D2, D4, D103, D104, D105","","","","","33","","","0.8A","CUS08F30H3FTR-ND","","Toshiba Semiconductor and Storage","757-CUS08F30H3F","CUS08F30","","","","","30V","","",
"1","3","TEENSY_4.0","A2","","","","","200","","","","","","","","","","","4.0","","","","",
"1","3","TEENSY_4.1","A1","","","","","200","","","","","","","","","","","4.1","","","","",
"13","15","TEST_POINT","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13","","","","","15","","","","36-5015CT-ND","","Keystone Electronics","534-5015","5015","","","","","","","",
"3","5","TVS_15V","D5, D101, D102","","","","","67","","","","GSOT15-E3-08CT-ND","","Vishay General Semiconductor - Diodes Division","78-GSOT15-E3-08","GSOT15-E3-08","","","","","15V","","",
"1","3","TVS_BIDIRECTIONAL_DUAL","D100","","","","","200","","","","296-25281-1-ND","","Texas Instruments","595-TPD2E007DCKR","TPD2E007DCKR","","","","","","","",
"1","3","VOLTAGE_REGULATOR_SOT-223_5V","U3","","","","","200","","","","497-17240-1-ND","","STMicroelectronics","511-LDL1117S50R","LDL1117S50R","","","","","","","",
